playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1021660,0,Mate,Colina,23,211,113,39,RIGHT,VIC,2020,,Doutta Stars (Vic)/Calder U18,,other,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1021660.png?im=Scale,width=0.6,height=0.6",20/05/1999,CD_T120,RICH,Richmond,Tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I998647,2,Mason,Cox,32,211,110,46,RIGHT,INT,2017,2016,Oklahoma State University (USA),,rookieElevation,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/998647.png?im=Scale,width=0.6,height=0.6",14/03/1991,CD_T40,COLL,Collingwood,Magpies,2,55.4,0,0,26,1,4,0,0,0,4,61.1,11,1,0,0,3,77.8,18,120,14,11,0,2,4,100,1,3,3,3,25,9,36,46.3,7,0,1,73.3,0,0,15,5,8,2,2,420,2,7,412,149.8,0,54,10,2,3,1,0,1,1,1,18,4,7,2,55.4,0,0,26,0.5,2,0,0,0,2,61.1,5.5,0.5,0,0,1.5,77.8,9,60,7,5.5,0,1,2,100,0.5,1.5,1.5,1.5,12.5,4.5,36,46.3,3.5,0,0.5,73.3,0,0,7.5,5,4,1,1,210.4,1,3.5,149.8,0,27,5,1,1.5,0.5,0,0.5,0.5,0.5,9,2,3.5
CD_I1001024,7,Ned,Reeves,24,210,103,7,RIGHT,VIC,2018,2021,East Malvern (Vic)/St Kevin&apos;s Coll (Vic)/Oakl U18/St Kevin&apos;s OB (Vic),,preseason,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1001024.png?im=Scale,width=0.6,height=0.6",31/10/1998,CD_T80,HAW,Hawthorn,Hawks,7,74.1,0,0,120,4,17,0,0,3,6,67.9,36,7,1,14.3,19,66.7,51,425,34,11,0,7,5,100,0,1,14,28,205,65,31.7,52.7,7,9,15,47.8,0,0,23,0.8,11,0,0,531,15,65,284,243,1,389,17,16,1,12,8,18,2,12,53,14,17,7,74.1,0,0,120,0.6,2.4,0,0,0.4,0.9,67.9,5.1,1,0.1,14.3,2.7,66.7,7.3,60.7,4.9,1.6,0,1,0.7,100,0,0.1,2,4,29.3,9.3,31.7,52.7,1,1.3,2.1,47.8,0,0,3.3,0.8,1.6,0,0,76,2.1,9.3,243,0.1,55.6,2.4,2.3,0.1,1.7,1.1,2.6,0.3,1.7,7.6,2,2.4
CD_I1023446,0,Alex,Mirkov,23,210,105,45,RIGHT,VIC,2021,,Sydney Uni (NSW)/ GWS (VFL)/Old Ivanhoe (Vic)/Carlton (VFL),6,other,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1023446.png?im=Scale,width=0.6,height=0.6",17/11/1999,CD_T30,CARL,Carlton,Blues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1021200,0,Lachlan,McAndrew,22,209,101,46,RIGHT,NSW,2021,,Manly-Wwarringah (NSW)/St Augustine&apos;s College (NSW)/Sydney VFL,12,other,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1021200.png?im=Scale,width=0.6,height=0.6",26/05/2000,CD_T160,SYD,Sydney Swans,Swans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I290528,4,Max,Gawn,31,209,110,11,RIGHT,VIC,2009,2011,Ormond (Vic)/Sandringham U18,34,nationalDraft,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/290528.png?im=Scale,width=0.6,height=0.6",30/12/1991,CD_T90,MELB,Melbourne,Demons,4,59.4,3,0,47,5,14,0,0,4,10,66.7,36,12,6,50,17,58.5,53,299,31,20,3,3,5,42.9,0,3,11,14,61,18,29.5,55,17,3,9,51.3,0,0,39,2.8,20,6,3,1076,9,34,23,470.9,3,111,19,5,7,7,6,4,2,11,54,14,18,4,59.4,0.8,0,47,1.3,3.5,0,0,1,2.5,66.7,9,3,1.5,50,4.3,58.5,13.3,74.8,7.8,5,0.8,0.8,1.3,42.9,0,0.8,2.8,3.5,15.3,4.5,29.5,55,4.3,0.8,2.3,51.3,0,0,9.8,2.8,5,1.5,0.8,269.2,2.3,8.5,470.9,0.8,27.8,4.8,1.3,1.8,1.8,1.5,1,0.5,2.8,13.5,3.5,4.5
CD_I291975,5,Jarrod,Witts,30,209,110,28,LEFT,NSW,2011,2013,St Ives (NSW)/Sydney University (NSW)/Collingwood,67,other,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/291975.png?im=Scale,width=0.6,height=0.6",13/09/1992,CD_T1000,GCFC,Gold Coast Suns,Suns,5,81.5,1,0,98,13,16,0,0,2,4,59,49,3,0,0,18,67.5,83,481,56,25,2,6,10,60,1,3,17,37,178,55,30.9,48.2,15,4,5,54.3,0,0,46,1.2,16,1,1,1038,11,46,84,393.3,5,369,23,14,5,7,19,8,0,32,83,12,34,5,81.5,0.2,0,98,2.6,3.2,0,0,0.4,0.8,59,9.8,0.6,0,0,3.6,67.5,16.6,96.2,11.2,5,0.4,1.2,2,60,0.2,0.6,3.4,7.4,35.6,11,30.9,48.2,3,0.8,1,54.3,0,0,9.2,1.2,3.2,0.2,0.2,207.8,2.2,9.2,393.3,1,73.8,4.6,2.8,1,1.4,3.8,1.6,0,6.4,16.6,2.4,6.8
CD_I1004592,7,Tim,English,25,208,107,44,RIGHT,WA,2016,2017,Brookton-Pingelly (WA)/South Fremantle (WAFL),19,nationalDraft,RUCK,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1004592.png?im=Scale,width=0.6,height=0.6",10/8/1997,CD_T140,WB,Western Bulldogs,Bulldogs,7,86.6,1,2,158,5,28,0,0,2,8,48.9,67,6,0,0,68,70.4,135,839,95,57,1,11,13,85.7,3,6,35,46,193,64,33.2,37.2,27,14,35,64,0,0,89,1.9,42,2,1,2042,28,112,17,493.5,15,519,34,20,7,21,15,36,3,20,137,29,70,7,86.6,0.1,0.3,158,0.7,4,0,0,0.3,1.1,48.9,9.6,0.9,0,0,9.7,70.4,19.3,119.9,13.6,8.1,0.1,1.6,1.9,85.7,0.4,0.9,5,6.6,27.6,9.1,33.2,37.2,3.9,2,5,64,0,0,12.7,1.9,6,0.3,0.1,291.7,4,16,493.5,2.1,74.1,4.9,2.9,1,3,2.1,5.1,0.4,2.9,19.6,4.1,10
CD_I1017126,2,Sam,Darcy,19,208,97,10,RIGHT,VIC,2021,2022,Glen Iris (Vic)/Scotch College (Vic)/Oakleigh U18,2,fatherSon,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1017126.png?im=Scale,width=0.6,height=0.6",19/07/2003,CD_T140,WB,Western Bulldogs,Bulldogs,2,54.1,1,0,3,0,5,0,0,0,2,75,6,3,1,33.3,1,50,8,38,4,2,2,5,0,0,0,0,3,2,4,1,25,30.8,0,1,1,33.3,0,0,6,3,2,0,0,64,4,14,611,19.9,2,13,2,1,1,4,1,5,4,1,8,0,2,2,54.1,0.5,0,3,0,2.5,0,0,0,1,75,3,1.5,0.5,33.3,0.5,50,4,19,2,1,1,2.5,0,0,0,0,1.5,1,2,0.5,25,30.8,0,0.5,0.5,33.3,0,0,3,3,1,0,0,32.4,2,7,19.9,1,6.5,1,0.5,0.5,2,0.5,2.5,2,0.5,4,0,1
CD_I990740,6,Rory,Lobb,30,207,106,7,RIGHT,WA,2013,2014,Bassendean (WA)/Swan Districts (WAFL)/GWS/Fremantle,29,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/990740.png?im=Scale,width=0.6,height=0.6",9/2/1993,CD_T140,WB,Western Bulldogs,Bulldogs,6,88,6,0,17,0,14,1,50,2,6,48.1,26,17,5,29.4,19,58.5,53,285,31,21,7,4,6,42.9,3,6,11,18,38,11,28.9,43.2,7,2,6,60,0,0,35,1.9,18,7,3,941,12,63,163,325,2,88,25,6,14,11,2,4,0,2,54,16,28,6,88,1,0,17,0,2.3,0.2,50,0.3,1,48.1,4.3,2.8,0.8,29.4,3.2,58.5,8.8,47.5,5.2,3.5,1.2,0.7,1,42.9,0.5,1,1.8,3,6.3,1.8,28.9,43.2,1.2,0.3,1,60,0,0,5.8,1.9,3,1.2,0.5,156.9,2,10.5,325,0.3,14.7,4.2,1,2.3,1.8,0.3,0.7,0,0.3,9,2.7,4.7
